family_id	final_status	n	total_n	prop
OG0000728	U	14	51	0.27450980392156865
OG0000731	F	4	105	0.0380952380952381
OG0000731	P	40	105	0.38095238095238093
OG0000731	U	61	105	0.580952380952381
OG0000736	P	8	21	0.38095238095238093
OG0000736	U	13	21	0.6190476190476191
OG0000739	A	152	152	1.0
OG0000761	A	3	114	0.02631578947368421
OG0000761	P	80	114	0.7017543859649122
OG0000761	U	31	114	0.2719298245614035
OG0000792	A	9	44	0.20454545454545456
OG0000792	F	2	44	0.045454545454545456
OG0000792	P	8	44	0.18181818181818182
OG0000792	U	25	44	0.5681818181818182
OG0000817	A	24	182	0.13186813186813187
OG0000817	P	156	182	0.8571428571428571
OG0000817	U	2	182	0.01098901098901099
OG0000822	F	9	177	0.05084745762711865
OG0000822	P	19	177	0.10734463276836158
OG0000822	U	149	177	0.8418079096045198
OG0000846	A	32	90	0.35555555555555557
OG0000846	P	33	90	0.36666666666666664
OG0000846	U	25	90	0.2777777777777778
OG0000857	A	1	45	0.022222222222222223
OG0000857	F	2	45	0.044444444444444446
OG0000857	P	27	45	0.6
OG0000857	U	15	45	0.3333333333333333
OG0000865	A	33	459	0.0718954248366013
OG0000865	F	1	459	0.002178649237472767
OG0000865	P	354	459	0.7712418300653595
OG0000865	U	71	459	0.15468409586056645
OG0000887	A	6	73	0.0821917808219178
OG0000887	F	9	73	0.1232876712328767
OG0000887	P	21	73	0.2876712328767123
OG0000887	U	37	73	0.5068493150684932
OG0000893	A	101	187	0.5401069518716578
OG0000893	F	8	187	0.0427807486631016
OG0000893	P	58	187	0.31016042780748665
OG0000893	U	20	187	0.10695187165775401
OG0000907	A	1	130	0.007692307692307693
OG0000907	F	29	130	0.2230769230769231
OG0000907	P	56	130	0.4307692307692308
OG0000907	U	44	130	0.3384615384615385
OG0000913	A	24	134	0.1791044776119403
OG0000913	F	4	134	0.029850746268656716
OG0000913	P	28	134	0.208955223880597
OG0000913	U	78	134	0.582089552238806
OG0000929	F	1	147	0.006802721088435374
OG0000929	P	141	147	0.9591836734693877
OG0000929	U	5	147	0.034013605442176874
OG0000949	P	51	179	0.2849162011173184
OG0000949	U	128	179	0.7150837988826816
OG0000962	F	12	87	0.13793103448275862
OG0000962	P	9	87	0.10344827586206896
OG0000962	U	66	87	0.7586206896551724
OG0001007	A	3	152	0.019736842105263157
OG0001007	F	3	152	0.019736842105263157
OG0001007	P	129	152	0.8486842105263158
OG0001007	U	17	152	0.1118421052631579
OG0001019	A	7	44	0.1590909090909091
OG0001019	F	2	44	0.045454545454545456
OG0001019	P	12	44	0.2727272727272727
OG0001019	U	23	44	0.5227272727272727
OG0001038	F	7	17	0.4117647058823529
OG0001038	P	7	17	0.4117647058823529
OG0001038	U	3	17	0.17647058823529413
OG0001079	A	17	31	0.5483870967741935
