"og","gene","pseu"
"OG0000200","AL7G47590","AL7G47590_al1_v2_s_scaffold_7_copy_1"
"OG0000200","AL7G47590","AL7G47590_ALR_scaffold_5_copy_1"
"OG0000200","AL7G47590","AL7G47590_MN47_mabs_v3_scaffold_7_copy_1"
"OG0000200","AL7G47590","AL7G47590_MN47_mabs_v3_scaffold_7_copy_2"
"OG0000200","AL7G47590","AL7G47590_NT8_v2_fix_scaffold_7_copy_1"
"OG0000200","AL7G47590","AL7G47590_NT8_v2_fix_scaffold_7_copy_2"
"OG0000200","AL7G47590","AL7G47590_TE11_v2_scaffold_7_copy_1"
"OG0000200","AL7G47600","AL7G47600_AL27_v1_scaffold_4_copy_1"
"OG0000200","AL7G47600","AL7G47600_ALR_scaffold_5_copy_1"
"OG0000200","AL7G47600","AL7G47600_KN003hexa_v0_scaffold_4_copy_1"
"OG0000200","AL7G47600","AL7G47600_MN47_mabs_v3_scaffold_7_copy_1"
"OG0000200","AL7G47600","AL7G47600_MN47_mabs_v3_scaffold_4_copy_1"
"OG0000200","AL7G47600","AL7G47600_Nla_scaffold_7_copy_1"
"OG0000200","AL7G47600","AL7G47600_NT12_v2_scaffold_7_copy_1"
"OG0000200","AL7G47600","AL7G47600_NT12_v2_scaffold_7_copy_2"
"OG0000200","AL7G47600","AL7G47600_NT12_v2_scaffold_7_copy_3"
"OG0000200","AL7G47600","AL7G47600_NT8_v2_fix_scaffold_7_copy_4"
"OG0000200","AL7G47600","AL7G47600_WS1_v2_s_scaffold_7_copy_3"
"OG0000200","AL7G47600","AL7G47600_WS1_v2_s_scaffold_7_copy_4"
"OG0000200","AL7G47600","AL7G47600_WS1_v2_s_scaffold_7_copy_5"
"OG0000200","AL7G47850","AL7G47850_AL27_v1_scaffold_7_copy_1"
"OG0000200","AL7G47850","AL7G47850_BAM12_v2_scaffold_7_copy_1"
"OG0000200","AL7G47850","AL7G47850_NT12_v2_scaffold_7_copy_1"
"OG0000200","AL7G47850","AL7G47850_PU6_v3_fin_scaffold_7_copy_1"
"OG0000200","AL7G47850","AL7G47850_TE4_v1_scaffold_7_copy_1"
"OG0000200","AL7G47870","AL7G47870_AL27_v1_scaffold_7_copy_1"
"OG0000200","AL7G47870","AL7G47870_KN005_v1_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_AL08_v2_f_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_AL27_v1_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_BAM12_v2_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_BOR_v1_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_NT12_v2_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_NT8_v2_fix_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_TE11_v2_scaffold_7_copy_1"
"OG0000200","AL7G47890","AL7G47890_TE8_v1_scaffold_7_copy_1"
"OG0000200","AL7G48650","AL7G48650_AL27_v1_scaffold_7_copy_1"
"OG0000200","AL7G48650","AL7G48650_TE4_v1_scaffold_7_copy_1"
"OG0000200","AL7G48660",NA
"OG0000200","AL7G48670","AL7G48670_BOR_v1_scaffold_7_copy_1"
"OG0000200","AL7G48670","AL7G48670_KN005_v1_scaffold_7_copy_1"
