family_id	species	n_assemblies	max_copy	min_copy	median_copy	mean_copy	sd_copy	var_copy	cv	dispersion
OG0000343	AL	21	11	4	6	6.66666666666667	2.00831604418561	4.03333333333333	0.301247406627841	0.605
OG0000343	AT	133	6	3	5	4.95488721804511	0.637997122323417	0.407040328092961	0.128761179467397	0.0821492619671681
OG0000347	AL	21	39	19	36	32.952380952381	6.20061440888071	38.4476190476191	0.188168934373548	1.16676300578035
OG0000347	AT	133	3	3	3	3	0	0	0	0
OG0000348	AL	21	5	3	5	4.52380952380952	0.679635756787974	0.461904761904762	0.150235272553131	0.102105263157895
OG0000348	AT	133	13	9	11	10.6766917293233	0.774096464316587	0.599225336067441	0.072503401235286	0.0561246265471617
OG0000360	AL	21	8	5	7	6.95238095238095	0.669043382464133	0.447619047619048	0.0962322673407314	0.0643835616438356
OG0000360	AT	133	5	5	5	5	0	0	0	0
OG0000361	AL	21	13	9	11	11.1904761904762	1.12334534400814	1.26190476190476	0.100384052017748	0.112765957446808
OG0000361	AT	133	4	3	4	3.96992481203007	0.171439963166726	0.0293916609706084	0.0431846876916185	0.00740358126721764
OG0000367	AL	21	5	3	4	4.38095238095238	0.589592272353571	0.347619047619048	0.134580844776359	0.0793478260869566
OG0000367	AT	133	1	0	1	0.992481203007519	0.0867109969524119	0.00751879699248119	0.0873678984444757	0.00757575757575756
OG0000372	AL	21	5	4	5	4.9047619047619	0.300792603759119	0.0904761904761905	0.0613266473683641	0.0184466019417476
OG0000372	AT	133	8	7	8	7.80451127819549	0.398075800162317	0.158464342674869	0.0510058587876572	0.0203041980498628
OG0000375	AL	21	1	1	1	1	0	0	0	0
OG0000375	AT	133	1	0	1	0.887218045112782	0.317522018762762	0.10082023239918	0.357884987249554	0.113636363636363
OG0000382	AL	21	8	6	8	7.61904761904762	0.589592272353571	0.347619047619048	0.0773839857464062	0.045625
OG0000382	AT	133	8	7	8	7.98496240601504	0.122162485315295	0.0149236728184096	0.0152990683116141	0.00186897220795525
OG0000384	AL	21	61	11	29	30.4761904761905	12.379899222607	153.261904761905	0.406215443241791	5.02890625
OG0000384	AT	133	3	2	3	2.84962406015038	0.358790911541252	0.128730918204603	0.12590815629284	0.0451747021667867
OG0000385	AL	21	1	0	1	0.952380952380952	0.218217890235992	0.0476190476190476	0.229128784747792	0.05
OG0000385	AT	133	1	0	1	0.992481203007519	0.0867109969524119	0.00751879699248118	0.0873678984444756	0.00757575757575755
OG0000386	AL	21	12	8	11	10.4761904761905	0.980767435177556	0.961904761904762	0.093618709721494	0.0918181818181818
OG0000386	AT	133	4	3	4	3.99248120300752	0.086710996952412	0.0075187969924812	0.0217185736246154	0.00188323917137476
OG0000388	AL	21	13	5	10	9.33333333333333	2.00831604418561	4.03333333333333	0.215176719019887	0.432142857142857
OG0000388	AT	133	1	0	1	0.932330827067669	0.252126973837453	0.0635680109364319	0.270426512261139	0.068181818181818
OG0000402	AL	21	12	2	2	4.52380952380952	3.24990842361824	10.5619047619048	0.718400809431399	2.33473684210526
OG0000402	AT	133	8	6	8	7.95488721804511	0.241982395244181	0.0585554796081112	0.0304193370202988	0.0073609440339119
OG0000418	AL	21	4	1	3	3.04761904761905	0.669043382464133	0.447619047619048	0.219529859871044	0.146875
OG0000418	AT	133	1	1	1	1	0	0	0	0
OG0000419	AL	21	3	3	3	3	0	0	0	0
OG0000419	AT	133	1	1	1	1	0	0	0	0
OG0000422	AL	21	10	3	7	6.76190476190476	1.67047184665776	2.79047619047619	0.247041611125444	0.412676056338028
OG0000422	AT	133	4	4	4	4	0	0	0	0
OG0000432	AL	21	2	1	1	1.04761904761905	0.218217890235992	0.0476190476190476	0.208298895225265	0.0454545454545455
OG0000432	AT	133	1	1	1	1	0	0	0	0
OG0000434	AL	21	8	5	8	7.42857142857143	0.925820099772552	0.857142857142858	0.124629628815536	0.115384615384615
OG0000434	AT	133	4	2	4	3.70676691729323	0.504253947674907	0.254272043745728	0.136036054849417	0.0685967176839388
OG0000440	AL	21	13	7	10	10.0952380952381	1.78619041271534	3.19047619047619	0.176933955976519	0.316037735849056
